ind,ozone,dzone,ostop,dstop
86732,25,25,71,1069
21815,4,22,507,254
43071,9,26,115628,162
9964,2,7,357,347
75479,23,21,963,52
45179,10,21,175,22
31991,8,13,391,369
95711,27,2,191,205
87730,26,1,306,75
29203,8,8,864,1270
10396,2,8,346,347
91205,26,11,91,74
54676,19,1,1512,1514
85965,25,22,300,69
76207,23,24,187,412
26776,8,1,387,1696
91478,26,12,121,94
43620,10,2,1576,1575
83756,25,3,333,126
87640,26,1,134,76
46970,11,2,1625,24
92537,26,21,75,329
63588,21,24,58,982
85222,25,13,130,299
14725,2,23,356,1691
61291,21,9,56,1648
51194,12,11,60,61
18019,3,9,361,359
53230,16,13,269,350
88024,26,1,91,330
81326,24,22,1668,458
17316,3,2,361,359
22732,4,26,375,79
2755,1,11,1,1694
78025,24,1,413,460
1796,1,9,1,1678
55640,20,8,80,509
11293,2,10,343,1692
10339,2,8,349,343
12814,2,21,1693,261
225,1,2,1694,1
64233,21,25,399,980
13546,2,21,1681,343
93876,26,25,308,379
75180,23,16,159,764
90466,26,9,78,327
34481,8,23,391,947
46301,11,1,949,951
95356,27,1,210,40
19601,3,23,358,362
16575,2,26,1680,343
76877,23,26,743,186
77353,23,27,154,185
14449,2,23,295,353
82185,24,25,1663,413
55551,20,3,510,81
33515,8,21,386,1675
7975,1,25,380,1694
9092,1,27,215,1695
37433,8,27,369,1676
89060,26,3,75,307
78719,24,3,1664,1670
86689,25,25,132,300
84398,25,8,132,70
33562,8,22,1702,947
5337,1,22,1678,380
12765,2,21,1691,355
58310,21,2,1653,407
84653,25,9,333,130
94324,26,26,73,328
23852,5,21,313,1343
63015,21,22,1648,983
3056,1,11,1695,1
26250,7,26,66,64
55664,20,9,80,539
9775,2,6,295,1680
34151,8,23,1697,364
76819,23,26,158,769
87148,25,27,303,133
67948,22,9,976,51
9240,1,27,215,1677
92161,26,21,136,91
20221,3,26,338,359
36446,8,26,363,1699
86575,25,24,335,133
59586,21,5,56,1649
34205,8,23,1697,1702
34697,8,23,386,368
38812,9,3,1160,1336
1494,1,8,215,1694
56654,21,1,398,57
96345,27,8,212,402
7749,1,25,1678,1
15646,2,24,353,295
57228,21,1,45,1653
29020,8,8,368,1675
59083,21,3,1650,55
33190,8,21,387,364
61375,21,9,1649,464
25100,6,22,28,180
79510,24,8,1661,458
29975,8,9,1696,1701
3402,1,15,1677,215
15145,2,23,1679,861
45309,10,22,22,143
66266,22,2,231,229
88604,26,2,308,136
35331,8,24,1696,1703
23320,5,8,1682,1330
72720,23,4,766,767
28708,8,6,368,363
91136,26,11,308,121
37957,9,1,1332,115629
6683,1,23,1678,380
12402,2,19,1679,343
5734,1,22,1695,1
19471,3,23,362,360
35907,8,25,386,1327
71518,23,2,412,157
976,1,8,376,1678
22537,4,25,507,126
31274,8,11,365,1699
66750,22,3,504,50
18573,3,21,359,339
58068,21,2,42,981
39913,9,8,1339,1162
57974,21,2,953,1655
69770,22,26,501,227
37291,8,27,1699,1327
19932,3,25,362,359
69646,22,26,978,252
70752,23,1,155,47
40613,9,13,115624,115626
60540,21,8,43,399
40944,9,21,1334,162
35468,8,24,1703,1327
56183,21,1,1655,56
17826,3,9,340,342
22705,4,26,542,379
81942,24,23,411,1669
71636,23,2,53,964
65263,21,27,398,400
27191,8,2,386,368
92441,26,21,72,379
42576,9,25,115615,115612
7295,1,24,506,1695
38619,9,3,316,1334
76595,23,25,742,46
85990,25,22,378,303
7272,1,24,380,1694
26017,7,21,323,65
47941,11,8,984,256
77439,23,27,767,157
21140,4,10,542,111
88989,26,3,78,305
39320,9,8,115619,1340
67252,22,6,465,48
59314,21,4,1656,57
82511,24,26,410,413
51768,13,3,997,405
47827,11,8,986,257
42229,20,8,80,509
73088,23,6,767,963
16102,2,25,345,1681
88800,26,2,72,137
10451,2,8,295,354
2147,1,9,506,1678
19377,3,23,341,338
56163,21,1,57,1655
5970,1,23,380,1695
21219,4,11,375,1574
34032,8,22,1701,1675
38641,9,3,1336,177
5605,1,22,1678,215
21156,4,11,542,984
56488,21,1,956,55
63669,21,24,982,42
94189,26,25,137,94
6439,1,23,376,1677
93856,26,24,75,135
51787,13,8,405,87
86824,25,26,377,123
89332,26,5,326,134
25625,7,3,31,64
13587,2,21,357,772
19700,3,23,362,341
21501,4,21,375,956
18546,3,20,342,362
48659,11,11,258,255
83261,25,1,301,100
23656,5,13,1343,320
53436,16,21,264,348
54336,18,9,147,110
24639,6,3,297,20
68057,22,9,467,466
17317,3,2,339,342
58197,21,2,955,397
26390,8,1,1675,1327
48096,11,8,984,259
52070,15,8,1272,1326
38352,9,2,1334,1183
28,1,1,1677,1
10934,2,9,346,347
92650,26,22,331,325
55082,19,16,1584,1513
990,1,8,215,1678
32087,8,16,365,1697
74733,23,11,46,742
61533,21,10,54,980
56934,21,1,55,407
95055,26,27,79,331
79202,24,8,1664,1669
66703,22,2,502,979
93197,26,23,79,94
45193,10,21,1629,19
25347,6,26,15,297
48210,11,8,996,952
27037,8,1,1703,370
13847,2,22,345,1691
84662,25,9,131,71
64434,21,26,407,397
11132,2,9,354,295
55854,20,23,90,538
74820,23,11,1652,742
37663,9,1,1333,1336
8106,1,26,1,1678
38232,9,2,165,1163
73129,23,6,52,182
65463,22,1,251,48
15854,2,25,356,1680
50401,11,26,989,225
85715,25,21,130,102
86623,25,25,131,404
78440,24,2,1668,460
4402,1,21,1,1695
63175,21,23,44,399
14360,2,23,349,861
66324,22,2,253,978
23879,5,22,1328,1682
37464,8,27,370,1676
96856,27,11,402,214
11174,2,9,295,356
51431,12,22,60,310
36065,8,25,368,1696
17276,3,1,342,3
14995,2,23,347,357
93104,26,23,379,118
67803,22,8,504,51
53675,16,23,858,856
63983,21,25,1655,464
34974,8,24,1698,862
78119,24,1,1665,1670
74515,23,9,158,769
54715,19,1,1510,1571
88370,26,2,77,1070
323,1,3,376,1695
17057,2,27,861,1693
97929,27,24,194,206
68395,22,11,250,467
23751,5,21,1341,313
20973,4,9,374,1164
34256,8,23,1701,1674
79627,24,8,1662,1666
69776,22,26,250,227
417,1,5,380,1695
79813,24,8,458,1665
56907,21,1,1656,54
43880,10,2,1628,11
60943,21,9,983,1654
59268,21,4,400,1648
30469,8,9,1697,389
44331,10,8,8,143
56895,21,1,41,55
97116,27,21,208,189
79637,24,8,1667,411
36887,8,26,1703,391
4697,1,21,1678,376
46837,11,2,1626,257
97383,27,21,395,59
65029,21,27,1648,955
38410,9,2,168,164
10176,2,8,354,295
55264,19,23,958,1513
54243,18,4,103,109
53245,16,15,858,860
78259,24,2,410,1667
15352,2,24,353,295
67370,22,8,229,227
62689,21,21,464,983
24579,6,2,988,20
12910,2,21,1692,1679
53503,16,21,278,272
73805,23,8,764,766
10513,2,8,354,772
19879,3,24,342,360
45450,10,23,140,161
61316,21,9,43,38
72101,23,2,159,743
50339,11,26,225,989
73781,23,8,766,46
74203,23,9,769,742
29491,8,9,390,864
57769,21,2,956,953
12028,2,11,261,344
83951,25,4,70,378
58665,21,3,45,41
65650,22,1,252,231
60381,21,8,955,953
3983,1,21,215,1678
29053,8,8,363,947
70302,23,1,182,186
12543,2,21,343,1680
32884,8,21,1270,1673
76977,23,26,160,963
94499,26,26,72,78
65636,22,1,49,501
67971,22,9,957,501
37027,8,27,1702,1697
80869,24,21,1665,1660
70878,23,1,155,743
31167,8,10,1703,1327
35934,8,25,389,862
53955,16,26,351,856
2875,1,11,376,1677
84050,25,6,378,130
43633,10,2,174,21
10063,2,8,1693,357
96531,27,8,193,1671
73914,23,8,186,740
28680,8,6,364,864
62773,21,21,954,44
67126,22,4,251,504
20073,3,26,342,3
78314,24,2,1669,459
9837,2,6,1692,295
97030,27,20,1671,59
88437,26,2,94,326
63265,21,23,42,1654
92993,26,23,135,78
92716,26,22,119,325
14014,2,22,861,355
38718,9,3,115617,1164
36013,8,25,387,367
4934,1,21,1695,1
34711,8,23,369,367
36126,8,25,368,1327
80327,24,11,460,1664
65836,22,1,468,465
79497,24,8,1663,460
61846,21,11,1654,407
28478,8,5,1701,1698
10081,2,8,861,345
11783,2,11,1681,295
10229,2,8,357,1692
36860,8,26,1327,367
88495,26,2,305,92
916,1,8,376,1695
97802,27,23,402,191
61144,21,9,55,399
91983,26,21,137,75
85146,25,11,377,98
94697,26,26,135,134
54168,18,1,1688,149
98146,27,26,210,462
554,1,5,380,1695
2824,1,11,380,1677
96271,27,8,396,190
1632,1,8,1,1678
37766,9,1,115625,1338
10154,2,8,295,1679
71814,23,2,158,769
4464,1,21,376,1695
60927,21,9,56,41
63100,21,23,955,407
97048,27,21,208,463
9078,1,27,1678,380
14378,2,23,343,261
52924,16,8,350,273
88826,26,3,76,307
67394,22,8,957,51
29110,8,8,864,389
22377,4,24,375,458
11625,2,11,354,347
27878,8,3,391,367
78386,24,2,1660,458
24078,5,24,1344,320
60940,21,9,400,1654
40994,9,21,115615,144
73899,23,8,963,183
16217,2,25,349,343
97565,27,22,402,189
54897,19,8,1510,249
91260,26,11,306,1070
15977,2,25,343,1691
60884,21,8,955,398
36508,8,26,369,1675
16885,2,26,346,1679
86257,25,23,102,70
30243,8,9,862,388
5462,1,22,380,1677
21990,4,23,375,182
16554,2,26,346,347
18327,3,11,360,342
78957,24,4,1666,1668
43331,10,1,12,115
22555,4,26,374,134
1784,1,9,1694,376
47957,11,8,225,259
